#term ID,term description,observed gene count,background gene count,strength,false discovery rate,matching proteins in your network (IDs),matching proteins in your network (labels)
GO:0035613,RNA stem-loop binding,3,16,2.49,1.88e-05,"9606.ENSP00000356669,9606.ENSP00000362179,9606.ENSP00000362774","RC3H1,ZC3H12A,RC3H2"
GO:0004842,ubiquitin-protein transferase activity,5,370,1.34,9.88e-05,"9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000362774,9606.ENSP00000481570","MALT1,RBCK1,RC3H1,RC3H2,TNFAIP3"
GO:0043621,protein self-association,3,55,1.95,0.00015,"9606.ENSP00000319279,9606.ENSP00000359612,9606.ENSP00000481570","MALT1,BCL10,TNFAIP3"
GO:0061578,Lys63-specific deubiquitinase activity,2,11,2.47,0.00059,"9606.ENSP00000392025,9606.ENSP00000481570","CYLD,TNFAIP3"
GO:0002020,protease binding,3,135,1.56,0.0013,"9606.ENSP00000319279,9606.ENSP00000359612,9606.ENSP00000481570","MALT1,BCL10,TNFAIP3"
GO:0140096,"catalytic activity, acting on a protein",7,2176,0.72,0.0016,"9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000362774,9606.ENSP00000392025,9606.ENSP00000481570,9606.ENSP00000482657","MALT1,RBCK1,RC3H1,RC3H2,CYLD,TNFAIP3,MAP3K14"
GO:0035198,miRNA binding,2,26,2.1,0.0018,"9606.ENSP00000356669,9606.ENSP00000362179","RC3H1,ZC3H12A"
GO:0003729,mRNA binding,3,198,1.39,0.0026,"9606.ENSP00000356669,9606.ENSP00000362179,9606.ENSP00000362774","RC3H1,ZC3H12A,RC3H2"
GO:0008234,cysteine-type peptidase activity,3,199,1.39,0.0026,"9606.ENSP00000319279,9606.ENSP00000392025,9606.ENSP00000481570","MALT1,CYLD,TNFAIP3"
GO:0019900,kinase binding,4,678,0.98,0.0053,"9606.ENSP00000221452,9606.ENSP00000359612,9606.ENSP00000392025,9606.ENSP00000481570","RELB,BCL10,CYLD,TNFAIP3"
GO:0003730,mRNA 3'-UTR binding,2,63,1.71,0.0060,"9606.ENSP00000356669,9606.ENSP00000362179","RC3H1,ZC3H12A"
GO:0043130,ubiquitin binding,2,66,1.69,0.0061,"9606.ENSP00000348632,9606.ENSP00000481570","RBCK1,TNFAIP3"
GO:0003725,double-stranded RNA binding,2,70,1.67,0.0064,"9606.ENSP00000356669,9606.ENSP00000362774","RC3H1,RC3H2"
GO:0004843,thiol-dependent ubiquitin-specific protease activity,2,80,1.61,0.0077,"9606.ENSP00000392025,9606.ENSP00000481570","CYLD,TNFAIP3"
GO:0016740,transferase activity,6,2250,0.64,0.0077,"9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000362774,9606.ENSP00000481570,9606.ENSP00000482657","MALT1,RBCK1,RC3H1,RC3H2,TNFAIP3,MAP3K14"
GO:0019901,protein kinase binding,3,599,0.91,0.0256,"9606.ENSP00000221452,9606.ENSP00000359612,9606.ENSP00000392025","RELB,BCL10,CYLD"
GO:0046872,metal ion binding,7,4087,0.45,0.0256,"9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000378400,9606.ENSP00000392025,9606.ENSP00000481570","RBCK1,RC3H1,ZC3H12A,RC3H2,LIMA1,CYLD,TNFAIP3"
GO:0003824,catalytic activity,8,5592,0.37,0.0284,"9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000392025,9606.ENSP00000481570,9606.ENSP00000482657","MALT1,RBCK1,RC3H1,ZC3H12A,RC3H2,CYLD,TNFAIP3,MAP3K14"
GO:0019899,enzyme binding,5,2197,0.57,0.0285,"9606.ENSP00000221452,9606.ENSP00000319279,9606.ENSP00000359612,9606.ENSP00000392025,9606.ENSP00000481570","RELB,MALT1,BCL10,CYLD,TNFAIP3"
GO:0008270,zinc ion binding,3,800,0.79,0.0439,"9606.ENSP00000356669,9606.ENSP00000392025,9606.ENSP00000481570","RC3H1,CYLD,TNFAIP3"
GO:0043167,ion binding,8,6066,0.33,0.0439,"9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000378400,9606.ENSP00000392025,9606.ENSP00000481570,9606.ENSP00000482657","RBCK1,RC3H1,ZC3H12A,RC3H2,LIMA1,CYLD,TNFAIP3,MAP3K14"
