"","x"
"1","CAR11_HUMAN"
"2","CAR10_HUMAN"
"3","RNF31_HUMAN"
"4","TAB2_HUMAN"
"5","TRAF6_HUMAN"
"6","UBP2_HUMAN"
"7","USP9X_HUMAN"
"8","CAR14_HUMAN"
"9","M3K7_HUMAN"
"10","KCC2G_HUMAN"
"11","ZC12D_HUMAN"
"12","PUM1_HUMAN"
"13","CHSP1_HUMAN"
"14","CPEB1_HUMAN"
"15","PAN3_HUMAN"
"16","LS14A_HUMAN"
"17","PRS7_HUMAN"
"18","DCP1A_HUMAN"
"19","PAN2_HUMAN"
"20","CAPR1_HUMAN"
"21","PATL1_HUMAN"
"22","EDC4_HUMAN"
"23","TNR6B_HUMAN"
"24","TNR6C_HUMAN"
"25","WTIP_HUMAN"
"26","BIRC2_HUMAN"
"27","HDAC6_HUMAN"
"28","GRRE1_HUMAN"
"29","SMAG1_HUMAN"
"30","SMAG2_HUMAN"
"31","RBPMS_HUMAN"
"32","SYNE1_HUMAN"
"33","UBP20_HUMAN"
"34","TRI32_HUMAN"
"35","TAB3_HUMAN"
"36","UBP10_HUMAN"
"37","RN185_HUMAN"
"38","DHX9_HUMAN"
"39","UBP45_HUMAN"
"40","UBP51_HUMAN"
"41","UBP3_HUMAN"
"42","DDX3X_HUMAN"
"43","UBP4_HUMAN"
"44","RNFT1_HUMAN"
"45","UBP25_HUMAN"
"46","RN213_HUMAN"
"47","RNF12_HUMAN"
"48","UBP34_HUMAN"
"49","UBP37_HUMAN"
"50","RN112_HUMAN"
"51","VCIP1_HUMAN"
"52","UBP1_HUMAN"
"53","MIB2_HUMAN"
"54","ARI1_HUMAN"
"55","RBBP6_HUMAN"
"56","NEDD4_HUMAN"
"57","UBP54_HUMAN"
"58","RBM10_HUMAN"
"59","RBM24_HUMAN"
"60","TRI25_HUMAN"
"61","RNC_HUMAN"
"62","NHLC1_HUMAN"
"63","TITIN_HUMAN"
"64","UBP21_HUMAN"
"65","UBP19_HUMAN"
"66","BIRC7_HUMAN"
"67","ZNRF1_HUMAN"
"68","DND1_HUMAN"
"69","ADAM8_HUMAN"
"70","CPEB3_HUMAN"
"71","DHX33_HUMAN"
"72","PAIRB_HUMAN"
"73","MUL1_HUMAN"
"74","CFLAR_HUMAN"
"75","CBL_HUMAN"
"76","TR10A_HUMAN"
"77","MEFV_HUMAN"
"78","TRI38_HUMAN"
"79","TOPRS_HUMAN"
"80","TRIM1_HUMAN"
"81","DZIP3_HUMAN"
"82","UBP36_HUMAN"
"83","UBP47_HUMAN"
"84","UBP38_HUMAN"
"85","USP9Y_HUMAN"
"86","UBP24_HUMAN"
"87","FBX30_HUMAN"
"88","CRADD_HUMAN"
"89","M3K1_HUMAN"
"90","DDX5_HUMAN"
"91","LARP1_HUMAN"
"92","MATR3_HUMAN"
"93","RS7_HUMAN"
"94","UHRF2_HUMAN"
"95","UBP6_HUMAN"
"96","CPEB4_HUMAN"
"97","TRI58_HUMAN"
"98","IF4A1_HUMAN"
"99","DHX30_HUMAN"
"100","PABP4_HUMAN"
"101","ELAV1_HUMAN"
"102","OTU6A_HUMAN"
"103","UBP31_HUMAN"
"104","MARH5_HUMAN"
"105","TRI13_HUMAN"
"106","TRI56_HUMAN"
"107","DVL2_HUMAN"
"108","UBXN7_HUMAN"
"109","TBA1B_HUMAN"
"110","HNRPR_HUMAN"
"111","ROA2_HUMAN"
"112","CELF1_HUMAN"
"113","HNRPU_HUMAN"
"114","OAS2_HUMAN"
"115","RED1_HUMAN"
"116","AXIN1_HUMAN"
"117","TRI33_HUMAN"
"118","NLRP3_HUMAN"
"119","CASPA_HUMAN"
"120","PLS3_HUMAN"
"121","SIR2_HUMAN"
"122","NKX31_HUMAN"
"123","FAF2_HUMAN"
"124","UBX11_HUMAN"
"125","SH3R2_HUMAN"
"126","RNF37_HUMAN"
"127","DSRAD_HUMAN"
"128","DDX60_HUMAN"
"129","PUM2_HUMAN"
"130","RNPS1_HUMAN"
"131","CRK_HUMAN"
"132","KPCB_HUMAN"
"133","KI13B_HUMAN"
"134","TRI26_HUMAN"
"135","RN187_HUMAN"
"136","TR10B_HUMAN"
"137","EDAR_HUMAN"
"138","FLNA_HUMAN"
"139","KHNYN_HUMAN"
"140","HAKAI_HUMAN"
"141","RN123_HUMAN"
"142","NLRP6_HUMAN"
"143","NALP7_HUMAN"
"144","UBE4A_HUMAN"
"145","ANK1_HUMAN"
"146","CPEB2_HUMAN"
"147","RBM38_HUMAN"
"148","ATX1_HUMAN"
"149","HELZ_HUMAN"
"150","ZC3H4_HUMAN"
"151","RNF6_HUMAN"
"152","DGCR8_HUMAN"
"153","RYR2_HUMAN"
"154","MPND_HUMAN"
"155","RED2_HUMAN"
"156","NFX1_HUMAN"
"157","KMT2A_HUMAN"
"158","TRI11_HUMAN"
"159","SPTN5_HUMAN"
"160","CUED2_HUMAN"
"161","ABCD3_HUMAN"
"162","RBMS3_HUMAN"
"163","TUT4_HUMAN"
"164","MB12A_HUMAN"
"165","SHAN3_HUMAN"
"166","PAB4L_HUMAN"
"167","PRKDC_HUMAN"
"168","MARH9_HUMAN"
"169","MARHA_HUMAN"
"170","ZNRF3_HUMAN"
"171","PIAS1_HUMAN"
"172","MARHB_HUMAN"
"173","NEUL1_HUMAN"
"174","RNF43_HUMAN"
"175","RN138_HUMAN"
"176","TRI50_HUMAN"
"177","FYV1_HUMAN"
"178","PCSK9_HUMAN"
"179","ELAV2_HUMAN"
"180","BOLL_HUMAN"
"181","DAZ4_HUMAN"
"182","DAZ2_HUMAN"
"183","DAZ3_HUMAN"
"184","DAZ1_HUMAN"
"185","KCC2A_HUMAN"
"186","FYCO1_HUMAN"
"187","CBLC_HUMAN"
"188","AIRE_HUMAN"
"189","TR49D_HUMAN"
"190","TRAF7_HUMAN"
"191","SBP2L_HUMAN"
"192","ACES_HUMAN"
"193","ELAV4_HUMAN"
"194","MINY4_HUMAN"
"195","POK10_HUMAN"
"196","POK7_HUMAN"
"197","CKS1_HUMAN"
"198","DAZL_HUMAN"
"199","CAN3_HUMAN"
"200","KPCZ_HUMAN"
"201","CLIP3_HUMAN"
"202","KDM5A_HUMAN"
"203","DTX2_HUMAN"
"204","FGD1_HUMAN"
"205","XAF1_HUMAN"
"206","HUWE1_HUMAN"
"207","TRAF1_HUMAN"
"208","NED4L_HUMAN"
"209","LMO7_HUMAN"
"210","M3K2_HUMAN"
"211","IKKA_HUMAN"
"212","ZC12B_HUMAN"
"213","RBM26_HUMAN"
"214","RSPRY_HUMAN"
"215","RN169_HUMAN"
"216","CUL9_HUMAN"
"217","KDM5C_HUMAN"
