"","V1"
"1","IPR032670"
"2","IPR041523"
"3","IPR027370"
"4","IPR000571"
"5","IPR036855"
"6","IPR001841"
"7","IPR013083"
"8","IPR017907"
"9","IPR032671"
"10","IPR041523"
"11","IPR027370"
"12","IPR000571"
"13","IPR036855"
"14","IPR001841"
"15","IPR013083"
"16","IPR017907"
"17","IPR013783"
"18","IPR014756"
"19","IPR002909"
"20","IPR033926"
"21","IPR000451"
"22","IPR008967"
"23","IPR030496"
"24","IPR032399"
"25","IPR032400"
"26","IPR030492"
"27","IPR032397"
"28","IPR011539"
"29","IPR037059"
"30","IPR029030"
"31","IPR011029"
"32","IPR007110"
"33","IPR036179"
"34","IPR013783"
"35","IPR003599"
"36","IPR003598"
"37","IPR033540"
"38","IPR037940"
"39","IPR041077"
"40","IPR001309"
"41","IPR040546"
"42","IPR040757"
"43","IPR021869"
"44","IPR021869"
"45","IPR002867"
"46","IPR026261"
"47","IPR044066"
"48","IPR000626"
"49","IPR029071"
"50","IPR027370"
"51","IPR001876"
"52","IPR036443"
"53","IPR001841"
"54","IPR013083"
"55","IPR017907"
"56","IPR036859"
"57","IPR000938"
"58","IPR038765"
"59","IPR001394"
"60","IPR018200"
"61","IPR028889"
"62","IPR011009"
"63","IPR042787"
"64","IPR017425"
"65","IPR000719"
"66","IPR017441"
"67","IPR008271"
"68","IPR033238"
"69","IPR001315"
"70","IPR042143"
"71","IPR011029"
"72","IPR028740"
"73","IPR001781"
"74","IPR033478"
"75","IPR003323"
"76","IPR002653"
