#term ID,term description,observed gene count,background gene count,strength,false discovery rate,matching proteins in your network (IDs),matching proteins in your network (labels)
IPR021869,"Ribonuclease Zc3h12a-like, NYN domain",4,7,2.77,1.39E-08,"9606.ENSP00000262384,9606.ENSP00000340839,9606.ENSP00000362179,9606.ENSP00000386616","N4BP1,ZC3H12B,ZC3H12A,ZC3H12D"
IPR040546,"Rege-1, UBA-like domain",3,4,2.89,9.05E-07,"9606.ENSP00000340839,9606.ENSP00000362179,9606.ENSP00000386616","ZC3H12B,ZC3H12A,ZC3H12D"
IPR000571,"Zinc finger, CCCH-type",4,57,1.86,7.12E-06,"9606.ENSP00000340839,9606.ENSP00000356669,9606.ENSP00000362774,9606.ENSP00000386616","ZC3H12B,RC3H1,RC3H2,ZC3H12D"
IPR041523,Roquin II,2,2,3.01,8.95E-05,"9606.ENSP00000356669,9606.ENSP00000362774","RC3H1,RC3H2"
IPR027370,"RING-type zinc-finger, LisH dimerisation motif",3,36,1.93,9.27E-05,"9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000362774","RBCK1,RC3H1,RC3H2"
IPR040757,"Endoribonuclease Regnase 1/ZC3H12, C-terminal domain",2,3,2.84,9.94E-05,"9606.ENSP00000340839,9606.ENSP00000362179","ZC3H12B,ZC3H12A"
IPR001309,"Peptidase C14,  p20 domain",2,13,2.2,0.0008,"9606.ENSP00000286186,9606.ENSP00000319279","CASP10,MALT1"
IPR011029,Death-like domain superfamily,3,86,1.56,0.0008,"9606.ENSP00000286186,9606.ENSP00000319279,9606.ENSP00000359612","CASP10,MALT1,BCL10"
IPR029030,Caspase-like domain superfamily,2,13,2.2,0.0008,"9606.ENSP00000286186,9606.ENSP00000319279","CASP10,MALT1"
IPR001876,"Zinc finger, RanBP2-type",2,23,1.95,0.0018,"9606.ENSP00000348632,9606.ENSP00000368215","RBCK1,TAB3"
IPR036443,"Zinc finger, RanBP2-type superfamily",2,23,1.95,0.0018,"9606.ENSP00000348632,9606.ENSP00000368215","RBCK1,TAB3"
IPR017907,"Zinc finger, RING-type, conserved site",3,163,1.28,0.0029,"9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000362774","RBCK1,RC3H1,RC3H2"
IPR036855,"Zinc finger, CCCH-type superfamily",2,33,1.8,0.0029,"9606.ENSP00000356669,9606.ENSP00000362774","RC3H1,RC3H2"
IPR001841,"Zinc finger, RING-type",3,287,1.03,0.0125,"9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000362774","RBCK1,RC3H1,RC3H2"
IPR013083,"Zinc finger, RING/FYVE/PHD-type",3,441,0.85,0.0382,"9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000362774","RBCK1,RC3H1,RC3H2"
