,Official.Symbol.Interactor.A,Official.Symbol.Interactor.B,Experimental.System,Experimental.System.Type,Author,Publication.Source,Throughput,BioGRID_ID_sumAB,BioGRID_ID_productAB,Organism.ID.Interactor.A,Organism.ID.Interactor.B,BioGRID.ID.Interactor.A,BioGRID.ID.Interactor.B,Evidence_count,experimental_system_count,publication_count
1,CASP10,TNFRSF10B,Co-purification,physical,Gajate C (2005),PUBMED:15659383,Low Throughput,221616,12266057639,9606,9606,107293,114323,2,2,2
2,CASP10,FADD,Co-purification,physical,Gajate C (2005),PUBMED:15659383,Low Throughput,221595,12263804486,9606,9606,107293,114302,9,5,6
3,CASP10,FASLG,Co-purification,physical,Gajate C (2005),PUBMED:15659383,Low Throughput,214145,11464471636,9606,9606,107293,106852,1,1,1
4,BID,CASP10,Co-purification,physical,Gajate C (2005),PUBMED:15659383,Low Throughput,214399,11491724058,9606,9606,107106,107293,1,1,1
5,EZR,CASP10,Co-purification,physical,Gajate C (2005),PUBMED:15659383,Low Throughput,220564,12153185403,9606,9606,113271,107293,1,1,1
6,FAS,CASP10,Co-purification,physical,Gajate C (2005),PUBMED:15659383,Low Throughput,214144,11464364343,9606,9606,106851,107293,3,2,3
7,MAPK8,CASP10,Co-purification,physical,Gajate C (2005),PUBMED:15659383,Low Throughput,218878,11972289405,9606,9606,111585,107293,1,1,1
8,MSN,CASP10,Co-purification,physical,Gajate C (2005),PUBMED:15659383,Low Throughput,217877,11864889112,9606,9606,110584,107293,1,1,1
9,RHOA,CASP10,Co-purification,physical,Gajate C (2005),PUBMED:15659383,Low Throughput,214173,11467475840,9606,9606,106880,107293,1,1,1
10,ARHGDIA,CASP10,Co-purification,physical,Gajate C (2005),PUBMED:15659383,Low Throughput,214182,11468441477,9606,9606,106889,107293,1,1,1
11,CASP10,CASP8,Co-purification,physical,Gajate C (2005),PUBMED:15659383,Low Throughput,214584,11511573263,9606,9606,107293,107291,9,3,7
12,CASP10,TNFRSF1A,Co-purification,physical,Gajate C (2005),PUBMED:15659383,Low Throughput,220279,12122606898,9606,9606,107293,112986,2,2,2
13,CASP8,CASP10,Affinity Capture-Western,physical,Micheau O (2003),PUBMED:12887920,Low Throughput,214584,11511573263,9606,9606,107291,107293,9,3,7
14,CASP10,CFLAR,Affinity Capture-Western,physical,Micheau O (2003),PUBMED:12887920,Low Throughput,221657,12270456652,9606,9606,107293,114364,7,4,5
15,CASP10,CASP8,Affinity Capture-Western,physical,Micheau O (2003),PUBMED:12887920,Low Throughput,214584,11511573263,9606,9606,107293,107291,9,3,7
16,FADD,CASP10,Affinity Capture-Western,physical,Vincenz C (1997),PUBMED:9045686,Low Throughput,221595,12263804486,9606,9606,114302,107293,9,5,6
17,FADD,CASP10,Reconstituted Complex,physical,Vincenz C (1997),PUBMED:9045686,Low Throughput,221595,12263804486,9606,9606,114302,107293,9,5,6
18,FAS,CASP10,Affinity Capture-Western,physical,Vincenz C (1997),PUBMED:9045686,Low Throughput,214144,11464364343,9606,9606,106851,107293,3,2,3
19,TNFRSF1A,CASP10,Affinity Capture-Western,physical,Vincenz C (1997),PUBMED:9045686,Low Throughput,220279,12122606898,9606,9606,112986,107293,2,2,2
20,CFLAR,CASP10,Two-hybrid,physical,Goltsev YV (1997),PUBMED:9289491,Low Throughput,221657,12270456652,9606,9606,114364,107293,7,4,5
