,Official.Symbol.Interactor.A,Official.Symbol.Interactor.B,Experimental.System,Experimental.System.Type,Author,Publication.Source,Throughput,BioGRID_ID_sumAB,BioGRID_ID_productAB,Organism.ID.Interactor.A,Organism.ID.Interactor.B,BioGRID.ID.Interactor.A,BioGRID.ID.Interactor.B,Evidence_count,experimental_system_count,publication_count
1,ICK,RPTOR,Biochemical Activity,physical,Wu D (2012),PUBMED:22356909,Low Throughput,238109,14167585714,9606,9606,116527,121582,2,2,1
2,ICK,RPTOR,Co-fractionation,physical,Wu D (2012),PUBMED:22356909,Low Throughput,238109,14167585714,9606,9606,116527,121582,2,2,1
3,ICK,MAPK1,Affinity Capture-Western,physical,Fu Z (2006),PUBMED:16954377,Low Throughput,228107,13002082660,9606,9606,116527,111580,2,1,2
4,ICK,CDC7,Affinity Capture-Western,physical,Fu Z (2006),PUBMED:16954377,Low Throughput,230441,13274056678,9606,9606,116527,113914,1,1,1
5,ICK,MNAT1,Affinity Capture-Western,physical,Fu Z (2006),PUBMED:16954377,Low Throughput,227001,12873203798,9606,9606,116527,110474,1,1,1
6,CDK20,ICK,Affinity Capture-Western,physical,Fu Z (2006),PUBMED:16954377,Low Throughput,233623,13644845592,9606,9606,117096,116527,2,2,1
7,CDK20,ICK,Biochemical Activity,physical,Fu Z (2006),PUBMED:16954377,Low Throughput,233623,13644845592,9606,9606,117096,116527,2,2,1
8,ICK,BAG6,Reconstituted Complex,physical,Fu Z (2006),PUBMED:16954377,Low Throughput,230174,13242943969,9606,9606,116527,113647,2,2,1
9,ICK,BAG6,Biochemical Activity,physical,Fu Z (2006),PUBMED:16954377,Low Throughput,230174,13242943969,9606,9606,116527,113647,2,2,1
10,ICK,APP,Reconstituted Complex,physical,Olah J (2011),PUBMED:21832049,High Throughput,223375,12450676896,9606,9606,116527,106848,2,1,2
11,VCP,ICK,Affinity Capture-MS,physical,Yu CC (2013),PUBMED:23383273,High Throughput,229785,13197614966,9606,9606,113258,116527,1,1,1
12,ICK,MAPK1,Affinity Capture-Western,physical,August A (1996),PUBMED:8626561,Low Throughput,228107,13002082660,9606,9606,116527,111580,2,1,2
13,ICK,CD247,Affinity Capture-Western,physical,August A (1996),PUBMED:8626561,Low Throughput,223884,12509989139,9606,9606,116527,107357,1,1,1
14,HSP90AA1,ICK,Affinity Capture-Luminescence,physical,Taipale M (2012),PUBMED:22939624,Low Throughput,226079,12765765904,9606,9606,109552,116527,2,2,1
15,ICK,HSP90AA1,Affinity Capture-Western,physical,Taipale M (2012),PUBMED:22939624,Low Throughput,226079,12765765904,9606,9606,116527,109552,2,2,1
16,SMAD1,ICK,Two-hybrid,physical,Colland F (2004),PUBMED:15231748,High Throughput,226788,12848383547,9606,9606,110261,116527,1,1,1
17,ICK,CPSF1,Affinity Capture-MS,physical,Varjosalo M (2013),PUBMED:23602568,High Throughput,235473,13860420542,9606,9606,116527,118946,1,1,1
18,ICK,PSMD1,Affinity Capture-MS,physical,Varjosalo M (2013),PUBMED:23602568,High Throughput,228207,13013735360,9606,9606,116527,111680,1,1,1
19,ICK,NUP188,Affinity Capture-MS,physical,Varjosalo M (2013),PUBMED:23602568,High Throughput,233585,13640417566,9606,9606,116527,117058,1,1,1
20,ICK,TP53,Affinity Capture-MS,physical,Varjosalo M (2013),PUBMED:23602568,High Throughput,229537,13168716270,9606,9606,116527,113010,1,1,1
21,ICK,PSMC6,Affinity Capture-MS,physical,Varjosalo M (2013),PUBMED:23602568,High Throughput,228206,13013618833,9606,9606,116527,111679,1,1,1
22,LSM14B,ICK,Affinity Capture-MS,physical,Huttlin EL (2015),PUBMED:26186194,High Throughput,243779,14828293804,9606,9606,127252,116527,2,1,2
23,NR0B2,ICK,Affinity Capture-MS,physical,Huttlin EL (2015),PUBMED:26186194,High Throughput,230539,13285476324,9606,9606,114012,116527,2,1,2
24,MSI2,ICK,Affinity Capture-MS,physical,Huttlin EL (2015),PUBMED:26186194,High Throughput,242400,14667603071,9606,9606,125873,116527,2,1,2
25,A4GALT,ICK,Affinity Capture-MS,physical,Huttlin EL (2015),PUBMED:26186194,High Throughput,236352,13962847775,9606,9606,119825,116527,2,1,2
26,A4GNT,ICK,Affinity Capture-MS,physical,Huttlin EL (2015),PUBMED:26186194,High Throughput,235857,13905166910,9606,9606,119330,116527,2,1,2
27,FAM217B,ICK,Affinity Capture-MS,physical,Huttlin EL (2015),PUBMED:26186194,High Throughput,238531,14216760108,9606,9606,122004,116527,2,1,2
28,CENPL,ICK,Affinity Capture-MS,physical,Huttlin EL (2015),PUBMED:26186194,High Throughput,241392,14550143855,9606,9606,124865,116527,2,1,2
29,MGC39584,ICK,Affinity Capture-MS,physical,Huttlin EL (2015),PUBMED:26186194,High Throughput,253651,15978648348,9606,9606,137124,116527,2,1,2
30,BMP7,ICK,Affinity Capture-MS,physical,Huttlin EL (2015),PUBMED:26186194,High Throughput,223650,12482721821,9606,9606,107123,116527,1,1,1
31,CDK14,ICK,Affinity Capture-MS,physical,Huttlin EL (2015),PUBMED:26186194,High Throughput,227766,12962346953,9606,9606,111239,116527,2,1,2
32,CDK1,ICK,Affinity Capture-MS,physical,Huttlin EL (2015),PUBMED:26186194,High Throughput,223947,12517330340,9606,9606,107420,116527,2,1,2
