,Official.Symbol.Interactor.A,Official.Symbol.Interactor.B,Experimental.System,Experimental.System.Type,Author,Publication.Source,Throughput,BioGRID_ID_sumAB,BioGRID_ID_productAB,Organism.ID.Interactor.A,Organism.ID.Interactor.B,BioGRID.ID.Interactor.A,BioGRID.ID.Interactor.B,Evidence_count,experimental_system_count,publication_count
1,MAP3K7CL,TAB3,Two-hybrid,physical,Rual JF (2005),PUBMED:16189514,High Throughput,250455,15666018624,9606,9606,121239,129216,3,1,3
2,MAP3K7,TAB3,Affinity Capture-Western,physical,Cheung PC (2004),PUBMED:14670075,Low Throughput,241964,14568845568,9606,9606,112748,129216,17,3,13
3,TAB1,TAB3,Affinity Capture-Western,physical,Cheung PC (2004),PUBMED:14670075,Low Throughput,244933,14952487872,9606,9606,115717,129216,6,3,4
4,TAB3,MAP3K7,Affinity Capture-Western,physical,Cheung PC (2004),PUBMED:14670075,Low Throughput,241964,14568845568,9606,9606,129216,112748,17,3,13
5,TAB3,TAB1,Affinity Capture-Western,physical,Cheung PC (2004),PUBMED:14670075,Low Throughput,244933,14952487872,9606,9606,129216,115717,6,3,4
6,MAP3K7,TAB3,Affinity Capture-Western,physical,Ishitani T (2003),PUBMED:14633987,Low Throughput,241964,14568845568,9606,9606,112748,129216,17,3,13
7,TAB3,TAB2,Affinity Capture-Western,physical,Ishitani T (2003),PUBMED:14633987,Low Throughput,245956,15084675840,9606,9606,129216,116740,4,2,2
8,TAB3,MAP3K7,Affinity Capture-Western,physical,Ishitani T (2003),PUBMED:14633987,Low Throughput,241964,14568845568,9606,9606,129216,112748,17,3,13
9,TAB3,TAB3,Affinity Capture-Western,physical,Ishitani T (2003),PUBMED:14633987,Low Throughput,258432,16696774656,9606,9606,129216,129216,1,1,1
10,TAB2,TAB3,Affinity Capture-Western,physical,Ishitani T (2003),PUBMED:14633987,Low Throughput,245956,15084675840,9606,9606,116740,129216,4,2,2
11,TAB3,TRAF6,Affinity Capture-Western,physical,Ishitani T (2003),PUBMED:14633987,Low Throughput,242257,14606705856,9606,9606,129216,113041,4,2,4
12,TAB3,TRAF2,Affinity Capture-Western,physical,Ishitani T (2003),PUBMED:14633987,Low Throughput,242254,14606318208,9606,9606,129216,113038,1,1,1
13,CALCOCO2,TAB3,Affinity Capture-Western,physical,Thurston TL (2009),PUBMED:19820708,Low Throughput,244751,14928970560,9606,9606,115535,129216,1,1,1
14,TAB1,TAB3,Affinity Capture-MS,physical,Li S (2011),PUBMED:21903422,High Throughput,244933,14952487872,9606,9606,115717,129216,6,3,4
15,TAB2,TAB3,Affinity Capture-MS,physical,Li S (2011),PUBMED:21903422,High Throughput,245956,15084675840,9606,9606,116740,129216,4,2,2
16,TAB3,TAB1,Affinity Capture-MS,physical,Li S (2011),PUBMED:21903422,High Throughput,244933,14952487872,9606,9606,129216,115717,6,3,4
17,TAB3,TAB2,Affinity Capture-MS,physical,Li S (2011),PUBMED:21903422,High Throughput,245956,15084675840,9606,9606,129216,116740,4,2,2
