human,mouse,type,unknown
ENSG00000186092,ENSMUSG00000061195,n:m,
ENSG00000186092,ENSMUSG00000108891,n:m,301553
ENSG00000186092,ENSMUSG00000108908,n:m,
ENSG00000279457,ENSMUSG00000024101,n:1,595179
ENSG00000278566,ENSMUSG00000093804,n:1,
ENSG00000273547,ENSMUSG00000093804,n:1,
ENSG00000187634,ENSMUSG00000096351,01:01,
ENSG00000188976,ENSMUSG00000095567,01:01,960108
ENSG00000187961,ENSMUSG00000078485,01:01,599183
ENSG00000187642,ENSMUSG00000078486,01:01,882915
ENSG00000187608,ENSMUSG00000035692,01:01,306444
ENSG00000237330,ENSMUSG00000110404,01:01,867439
ENSG00000162571,ENSMUSG00000029074,01:01,536138
ENSG00000186891,ENSMUSG00000041954,01:01,599579
ENSG00000186827,ENSMUSG00000029075,01:01,600444
ENSG00000078808,ENSMUSG00000029076,01:01,595953
ENSG00000176022,ENSMUSG00000050796,01:01,
ENSG00000184163,ENSMUSG00000023571,01:01,879681
ENSG00000160087,ENSMUSG00000023286,01:01,594984
ENSG00000131584,ENSMUSG00000029033,01:01,595532
ENSG00000169972,ENSMUSG00000051557,01:01,951086
ENSG00000127054,ENSMUSG00000029034,01:01,943559
ENSG00000224051,ENSMUSG00000029073,01:01,924766
ENSG00000169962,ENSMUSG00000029072,01:01,292080
ENSG00000107404,ENSMUSG00000029071,01:01,940437
ENSG00000162576,ENSMUSG00000029070,01:01,936397
ENSG00000175756,ENSMUSG00000065990,01:01,860464
ENSG00000221978,ENSMUSG00000029068,01:01,600840
ENSG00000242485,ENSMUSG00000029066,01:01,899725
ENSG00000235098,ENSMUSG00000078487,01:01,601553
ENSG00000205116,ENSMUSG00000073680,01:01,802353
ENSG00000179403,ENSMUSG00000042116,01:01,597384
ENSG00000197785,ENSMUSG00000029036,01:01,593995
ENSG00000205090,ENSMUSG00000084845,01:01,885686
ENSG00000160075,ENSMUSG00000029038,01:01,939109
ENSG00000228594,ENSMUSG00000074738,01:01,840405
ENSG00000197530,ENSMUSG00000029060,01:01,851967
ENSG00000189409,ENSMUSG00000029061,01:01,869937
ENSG00000248333,ENSMUSG00000029062,n:1,595957
ENSG00000189339,ENSMUSG00000042202,01:01,857795
ENSG00000008128,ENSMUSG00000029062,n:1,
ENSG00000008130,ENSMUSG00000029063,01:01,945183
ENSG00000078369,ENSMUSG00000029064,01:01,593763
ENSG00000178821,ENSMUSG00000023153,01:01,885835
ENSG00000142609,ENSMUSG00000078490,01:01,855324
ENSG00000187730,ENSMUSG00000029054,01:01,703156
ENSG00000067606,ENSMUSG00000029053,01:01,602863
ENSG00000162585,ENSMUSG00000073684,01:01,807483
ENSG00000157933,ENSMUSG00000029050,01:01,867694
ENSG00000157916,ENSMUSG00000029048,01:01,894127
ENSG00000157911,ENSMUSG00000029047,01:01,724714
ENSG00000149527,ENSMUSG00000029055,01:01,857390
ENSG00000157881,ENSMUSG00000029056,01:01,922791
ENSG00000197921,ENSMUSG00000048001,01:01,598471
ENSG00000157873,ENSMUSG00000042333,01:01,601334
ENSG00000157870,ENSMUSG00000029059,01:01,823302
ENSG00000142606,ENSMUSG00000058183,01:01,942910
ENSG00000169717,ENSMUSG00000051276,01:01,290705
ENSG00000142611,ENSMUSG00000039410,01:01,
ENSG00000130762,ENSMUSG00000029032,01:01,597980
ENSG00000162591,ENSMUSG00000057751,01:01,599529
ENSG00000158109,ENSMUSG00000029030,01:01,950968
