#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
120918	56911	257397	121239	129216	-	-	MAP3K7CL	TAB3	C21orf7|HC21ORF7|TAK1L|TAKL|TAKL-1|TAKL-2|TAKL-4	MAP3K7IP3|NAP1	Two-hybrid	physical	Rual JF (2005)	PUBMED:16189514	9606	9606	High Throughput	-	-	-	-	BIOGRID	P57077	B4DFW0|B0EVZ8|B0EVZ7|B0EVZ6	NP_001273563|NP_001273551|NP_001273552|NP_001273553|NP_001273547|NP_001273546|NP_001358298|NP_001273549|NP_001273548|NP_064537	Q8N5C8	-	NP_690000	-	-	-	-	-	-	Homo sapiens	Homo sapiens
252723	6885	257397	112748	129216	RP1-154G14.1	-	MAP3K7	TAB3	MEKK7|TAK1|TGF1a	MAP3K7IP3|NAP1	Affinity Capture-Western	physical	Cheung PC (2004)	PUBMED:14670075	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O43318	-	NP_663306|NP_003179|NP_663304|NP_663305	Q8N5C8	-	NP_690000	-	-	-	-	-	-	Homo sapiens	Homo sapiens
252725	10454	257397	115717	129216	RP3-407F17.2	-	TAB1	TAB3	3-Tab1|MAP3K7IP1	MAP3K7IP3|NAP1	Affinity Capture-Western	physical	Cheung PC (2004)	PUBMED:14670075	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q15750	A8K6K3	NP_006107|NP_705717	Q8N5C8	-	NP_690000	-	-	-	-	-	-	Homo sapiens	Homo sapiens
252729	257397	6885	129216	112748	-	RP1-154G14.1	TAB3	MAP3K7	MAP3K7IP3|NAP1	MEKK7|TAK1|TGF1a	Affinity Capture-Western	physical	Cheung PC (2004)	PUBMED:14670075	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q8N5C8	-	NP_690000	O43318	-	NP_663306|NP_003179|NP_663304|NP_663305	-	-	-	-	-	-	Homo sapiens	Homo sapiens
252730	257397	10454	129216	115717	-	RP3-407F17.2	TAB3	TAB1	MAP3K7IP3|NAP1	3-Tab1|MAP3K7IP1	Affinity Capture-Western	physical	Cheung PC (2004)	PUBMED:14670075	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q8N5C8	-	NP_690000	Q15750	A8K6K3	NP_006107|NP_705717	-	-	-	-	-	-	Homo sapiens	Homo sapiens
252934	6885	257397	112748	129216	RP1-154G14.1	-	MAP3K7	TAB3	MEKK7|TAK1|TGF1a	MAP3K7IP3|NAP1	Affinity Capture-Western	physical	Ishitani T (2003)	PUBMED:14633987	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O43318	-	NP_663306|NP_003179|NP_663304|NP_663305	Q8N5C8	-	NP_690000	-	-	-	-	-	-	Homo sapiens	Homo sapiens
252935	257397	23118	129216	116740	-	RP1-111D6.3	TAB3	TAB2	MAP3K7IP3|NAP1	CHTD2|MAP3K7IP2|TAB-2	Affinity Capture-Western	physical	Ishitani T (2003)	PUBMED:14633987	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q8N5C8	-	NP_690000	Q9NYJ8	B4DIR9	NP_001278964|NP_055908|NP_001356435|NP_001278963	-	-	-	-	-	-	Homo sapiens	Homo sapiens
252936	257397	6885	129216	112748	-	RP1-154G14.1	TAB3	MAP3K7	MAP3K7IP3|NAP1	MEKK7|TAK1|TGF1a	Affinity Capture-Western	physical	Ishitani T (2003)	PUBMED:14633987	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q8N5C8	-	NP_690000	O43318	-	NP_663306|NP_003179|NP_663304|NP_663305	-	-	-	-	-	-	Homo sapiens	Homo sapiens
252939	257397	257397	129216	129216	-	-	TAB3	TAB3	MAP3K7IP3|NAP1	MAP3K7IP3|NAP1	Affinity Capture-Western	physical	Ishitani T (2003)	PUBMED:14633987	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q8N5C8	-	NP_690000	Q8N5C8	-	NP_690000	-	-	-	-	-	-	Homo sapiens	Homo sapiens
252940	23118	257397	116740	129216	RP1-111D6.3	-	TAB2	TAB3	CHTD2|MAP3K7IP2|TAB-2	MAP3K7IP3|NAP1	Affinity Capture-Western	physical	Ishitani T (2003)	PUBMED:14633987	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9NYJ8	B4DIR9	NP_001278964|NP_055908|NP_001356435|NP_001278963	Q8N5C8	-	NP_690000	-	-	-	-	-	-	Homo sapiens	Homo sapiens
252943	257397	7189	129216	113041	-	-	TAB3	TRAF6	MAP3K7IP3|NAP1	MGC:3310|RNF85	Affinity Capture-Western	physical	Ishitani T (2003)	PUBMED:14633987	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q8N5C8	-	NP_690000	Q9Y4K3	-	NP_004611|NP_665802	-	-	-	-	-	-	Homo sapiens	Homo sapiens
