#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
120657	10010	80149	115328	123141	-	RP3-423B22.1	TANK	ZC3H12A	I-TRAF|ITRAF|TRAF2	MCPIP|MCPIP1|dJ423B22.1	Two-hybrid	physical	Rual JF (2005)	PUBMED:16189514	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q92844	B2R7S3|Q6NW12	NP_004171|NP_001186064|NP_597841	Q5D1E8	-	NP_001310480|NP_079355|NP_001310479	-	-	-	-	-	-	Homo sapiens	Homo sapiens
243331	10010	7187	115328	113039	-	-	TANK	TRAF3	I-TRAF|ITRAF|TRAF2	CAP-1|CAP1|CD40bp|CRAF1|IIAE5|LAP1	Affinity Capture-MS	physical	Bouwmeester T (2004)	PUBMED:14743216	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q92844	B2R7S3|Q6NW12	NP_004171|NP_001186064|NP_597841	Q13114	A6NHG8	NP_663777|NP_001186356|NP_663778|NP_001372072|NP_001372071|NP_003291	-	-	-	-	-	-	Homo sapiens	Homo sapiens
243389	29110	10010	118878	115328	-	-	TBK1	TANK	NAK|T2K	I-TRAF|ITRAF|TRAF2	Affinity Capture-MS	physical	Bouwmeester T (2004)	PUBMED:14743216	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q9UHD2	-	NP_037386	Q92844	B2R7S3|Q6NW12	NP_004171|NP_001186064|NP_597841	-	-	-	-	-	-	Homo sapiens	Homo sapiens
250897	10010	7186	115328	113038	-	-	TANK	TRAF2	I-TRAF|ITRAF|TRAF2	MGC:45012|TRAP|TRAP3	Affinity Capture-MS	physical	Bouwmeester T (2004)	PUBMED:14743216	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q92844	B2R7S3|Q6NW12	NP_004171|NP_001186064|NP_597841	Q12933	A0A024R8H5	NP_066961	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280858	7185	10010	113037	115328	-	-	TRAF1	TANK	EBI6|MGC:10353	I-TRAF|ITRAF|TRAF2	Two-hybrid	physical	Rothe M (1996)	PUBMED:8710854	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13077	-	NP_005649|NP_001177876|NP_001177874	Q92844	B2R7S3|Q6NW12	NP_004171|NP_001186064|NP_597841	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280859	7186	10010	113038	115328	-	-	TRAF2	TANK	MGC:45012|TRAP|TRAP3	I-TRAF|ITRAF|TRAF2	Two-hybrid	physical	Rothe M (1996)	PUBMED:8710854	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q12933	A0A024R8H5	NP_066961	Q92844	B2R7S3|Q6NW12	NP_004171|NP_001186064|NP_597841	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280860	7187	10010	113039	115328	-	-	TRAF3	TANK	CAP-1|CAP1|CD40bp|CRAF1|IIAE5|LAP1	I-TRAF|ITRAF|TRAF2	Two-hybrid	physical	Rothe M (1996)	PUBMED:8710854	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13114	A6NHG8	NP_663777|NP_001186356|NP_663778|NP_001372072|NP_001372071|NP_003291	Q92844	B2R7S3|Q6NW12	NP_004171|NP_001186064|NP_597841	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280861	7186	10010	113038	115328	-	-	TRAF2	TANK	MGC:45012|TRAP|TRAP3	I-TRAF|ITRAF|TRAF2	Affinity Capture-Western	physical	Rothe M (1996)	PUBMED:8710854	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q12933	A0A024R8H5	NP_066961	Q92844	B2R7S3|Q6NW12	NP_004171|NP_001186064|NP_597841	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280863	9270	10010	114689	115328	-	-	ITGB1BP1	TANK	ICAP-1A|ICAP-1B|ICAP-1alpha|ICAP1|ICAP1A|ICAP1B	I-TRAF|ITRAF|TRAF2	Affinity Capture-Western	physical	Rothe M (1996)	PUBMED:8710854	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O14713	B4DQY5	NP_071729|NP_001305998|NP_001305999|NP_001305996|NP_001305997|NP_001305995|NP_004754	Q92844	B2R7S3|Q6NW12	NP_004171|NP_001186064|NP_597841	-	-	-	-	-	-	Homo sapiens	Homo sapiens
286320	8517	10010	114089	115328	-	-	IKBKG	TANK	AMCBX1|FIP-3|FIP3|Fip3p|IKK-gamma|IMD33|IP|IP1|IP2|IPD2|NEMO|ZC2HC9	I-TRAF|ITRAF|TRAF2	Two-hybrid	physical	Chariot A (2002)	PUBMED:12133833	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y6K9	A0A087X1B1	NP_003630|NP_001138727|NP_001364244|NP_001364243|NP_001364242|NP_001364241|NP_001308326|NP_001308325|NP_001093327|NP_001093326	Q92844	B2R7S3|Q6NW12	NP_004171|NP_001186064|NP_597841	-	-	-	-	-	-	Homo sapiens	Homo sapiens
286321	8517	10010	114089	115328	-	-	IKBKG	TANK	AMCBX1|FIP-3|FIP3|Fip3p|IKK-gamma|IMD33|IP|IP1|IP2|IPD2|NEMO|ZC2HC9	I-TRAF|ITRAF|TRAF2	Reconstituted Complex	physical	Chariot A (2002)	PUBMED:12133833	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y6K9	A0A087X1B1	NP_003630|NP_001138727|NP_001364244|NP_001364243|NP_001364242|NP_001364241|NP_001308326|NP_001308325|NP_001093327|NP_001093326	Q92844	B2R7S3|Q6NW12	NP_004171|NP_001186064|NP_597841	-	-	-	-	-	-	Homo sapiens	Homo sapiens
286322	10010	8517	115328	114089	-	-	TANK	IKBKG	I-TRAF|ITRAF|TRAF2	AMCBX1|FIP-3|FIP3|Fip3p|IKK-gamma|IMD33|IP|IP1|IP2|IPD2|NEMO|ZC2HC9	Affinity Capture-Western	physical	Chariot A (2002)	PUBMED:12133833	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92844	B2R7S3|Q6NW12	NP_004171|NP_001186064|NP_597841	Q9Y6K9	A0A087X1B1	NP_003630|NP_001138727|NP_001364244|NP_001364243|NP_001364242|NP_001364241|NP_001308326|NP_001308325|NP_001093327|NP_001093326	-	-	-	-	-	-	Homo sapiens	Homo sapiens
286324	10010	1147	115328	107569	-	-	TANK	CHUK	I-TRAF|ITRAF|TRAF2	IKBKA|IKK-alpha|IKK1|IKKA|NFKBIKA|TCF16	Affinity Capture-Western	physical	Chariot A (2002)	PUBMED:12133833	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92844	B2R7S3|Q6NW12	NP_004171|NP_001186064|NP_597841	O15111	-	NP_001269|NP_001307857	-	-	-	-	-	-	Homo sapiens	Homo sapiens
302547	9641	10010	115000	115328	RP11-534L20.1	-	IKBKE	TANK	IKK-E|IKK-i|IKKE|IKKI	I-TRAF|ITRAF|TRAF2	Two-hybrid	physical	Nomura F (2000)	PUBMED:10759890	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q14164	A0A075B7B4	NP_001180250|NP_001180251|NP_054721	Q92844	B2R7S3|Q6NW12	NP_004171|NP_001186064|NP_597841	-	-	-	-	-	-	Homo sapiens	Homo sapiens
302548	9641	10010	115000	115328	RP11-534L20.1	-	IKBKE	TANK	IKK-E|IKK-i|IKKE|IKKI	I-TRAF|ITRAF|TRAF2	Affinity Capture-Western	physical	Nomura F (2000)	PUBMED:10759890	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q14164	A0A075B7B4	NP_001180250|NP_001180251|NP_054721	Q92844	B2R7S3|Q6NW12	NP_004171|NP_001186064|NP_597841	-	-	-	-	-	-	Homo sapiens	Homo sapiens
302549	10010	9641	115328	115000	-	RP11-534L20.1	TANK	IKBKE	I-TRAF|ITRAF|TRAF2	IKK-E|IKK-i|IKKE|IKKI	Affinity Capture-Western	physical	Nomura F (2000)	PUBMED:10759890	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92844	B2R7S3|Q6NW12	NP_004171|NP_001186064|NP_597841	Q14164	A0A075B7B4	NP_001180250|NP_001180251|NP_054721	-	-	-	-	-	-	Homo sapiens	Homo sapiens
302550	10010	7186	115328	113038	-	-	TANK	TRAF2	I-TRAF|ITRAF|TRAF2	MGC:45012|TRAP|TRAP3	Affinity Capture-Western	physical	Nomura F (2000)	PUBMED:10759890	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92844	B2R7S3|Q6NW12	NP_004171|NP_001186064|NP_597841	Q12933	A0A024R8H5	NP_066961	-	-	-	-	-	-	Homo sapiens	Homo sapiens
302551	7186	10010	113038	115328	-	-	TRAF2	TANK	MGC:45012|TRAP|TRAP3	I-TRAF|ITRAF|TRAF2	Affinity Capture-Western	physical	Nomura F (2000)	PUBMED:10759890	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q12933	A0A024R8H5	NP_066961	Q92844	B2R7S3|Q6NW12	NP_004171|NP_001186064|NP_597841	-	-	-	-	-	-	Homo sapiens	Homo sapiens
316399	10010	29110	115328	118878	-	-	TANK	TBK1	I-TRAF|ITRAF|TRAF2	NAK|T2K	Two-hybrid	physical	Pomerantz JL (1999)	PUBMED:10581243	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92844	B2R7S3|Q6NW12	NP_004171|NP_001186064|NP_597841	Q9UHD2	-	NP_037386	-	-	-	-	-	-	Homo sapiens	Homo sapiens
316403	10010	7186	115328	113038	-	-	TANK	TRAF2	I-TRAF|ITRAF|TRAF2	MGC:45012|TRAP|TRAP3	Affinity Capture-Western	physical	Pomerantz JL (1999)	PUBMED:10581243	9606	9606	Low Throughput	-	-	Flag-tagged TRAF2 was co-immunoprecipitated with Myc-tagged TBK1 only in the presence of HA-tagged TANK suggesting the formation of a TRAF2-TANK-TBK1 ternary complex.  The authors note that a direct interaction between TBK1 and TRAF2 is unlikely.	-	BIOGRID	Q92844	B2R7S3|Q6NW12	NP_004171|NP_001186064|NP_597841	Q12933	A0A024R8H5	NP_066961	-	-	-	-	-	-	Homo sapiens	Homo sapiens
338337	10010	3665	115328	109873	-	-	TANK	IRF7	I-TRAF|ITRAF|TRAF2	IRF-7H|IRF7A|IRF7B|IRF7C|IRF7H	Two-hybrid	physical	Gatot JS (2007)	PUBMED:17823124	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92844	B2R7S3|Q6NW12	NP_004171|NP_001186064|NP_597841	Q92985	A0A024RCA2|M9RSF4	NP_004022|NP_004020|NP_001563	-	-	-	-	-	-	Homo sapiens	Homo sapiens
338338	10010	3665	115328	109873	-	-	TANK	IRF7	I-TRAF|ITRAF|TRAF2	IRF-7H|IRF7A|IRF7B|IRF7C|IRF7H	Affinity Capture-Western	physical	Gatot JS (2007)	PUBMED:17823124	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92844	B2R7S3|Q6NW12	NP_004171|NP_001186064|NP_597841	Q92985	A0A024RCA2|M9RSF4	NP_004022|NP_004020|NP_001563	-	-	-	-	-	-	Homo sapiens	Homo sapiens
338339	10010	3661	115328	109869	-	-	TANK	IRF3	I-TRAF|ITRAF|TRAF2	-	Affinity Capture-Western	physical	Gatot JS (2007)	PUBMED:17823124	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92844	B2R7S3|Q6NW12	NP_004171|NP_001186064|NP_597841	Q14653	E2GIM7|E2GIM8|E2GIM5|E2GIM9|M0QYT9|E2GIM6	NP_001562|NP_001184056|NP_001184057|NP_001184054|NP_001184055|NP_001184052|NP_001184053|NP_001184051	-	-	-	-	-	-	Homo sapiens	Homo sapiens
338340	10010	9641	115328	115000	-	RP11-534L20.1	TANK	IKBKE	I-TRAF|ITRAF|TRAF2	IKK-E|IKK-i|IKKE|IKKI	Affinity Capture-Western	physical	Gatot JS (2007)	PUBMED:17823124	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92844	B2R7S3|Q6NW12	NP_004171|NP_001186064|NP_597841	Q14164	A0A075B7B4	NP_001180250|NP_001180251|NP_054721	-	-	-	-	-	-	Homo sapiens	Homo sapiens
338341	10010	29110	115328	118878	-	-	TANK	TBK1	I-TRAF|ITRAF|TRAF2	NAK|T2K	Affinity Capture-Western	physical	Gatot JS (2007)	PUBMED:17823124	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92844	B2R7S3|Q6NW12	NP_004171|NP_001186064|NP_597841	Q9UHD2	-	NP_037386	-	-	-	-	-	-	Homo sapiens	Homo sapiens
338343	10010	7187	115328	113039	-	-	TANK	TRAF3	I-TRAF|ITRAF|TRAF2	CAP-1|CAP1|CD40bp|CRAF1|IIAE5|LAP1	Affinity Capture-Western	physical	Gatot JS (2007)	PUBMED:17823124	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92844	B2R7S3|Q6NW12	NP_004171|NP_001186064|NP_597841	Q13114	A6NHG8	NP_663777|NP_001186356|NP_663778|NP_001372072|NP_001372071|NP_003291	-	-	-	-	-	-	Homo sapiens	Homo sapiens
446578	7186	10010	113038	115328	-	-	TRAF2	TANK	MGC:45012|TRAP|TRAP3	I-TRAF|ITRAF|TRAF2	Affinity Capture-MS	physical	Behrends C (2010)	PUBMED:20562859	9606	9606	High Throughput	-	-	Exogenous expression of bait	-	BIOGRID	Q12933	A0A024R8H5	NP_066961	Q92844	B2R7S3|Q6NW12	NP_004171|NP_001186064|NP_597841	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
513657	5347	10010	111362	115328	-	-	PLK1	TANK	PLK|STPK13	I-TRAF|ITRAF|TRAF2	Two-hybrid	physical	Zhang W (2010)	PUBMED:20484576	9606	9606	High Throughput	-	-	-	-	BIOGRID	P53350	-	NP_005021	Q92844	B2R7S3|Q6NW12	NP_004171|NP_001186064|NP_597841	-	-	-	-	-	-	Homo sapiens	Homo sapiens
513658	5347	10010	111362	115328	-	-	PLK1	TANK	PLK|STPK13	I-TRAF|ITRAF|TRAF2	Affinity Capture-Western	physical	Zhang W (2010)	PUBMED:20484576	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P53350	-	NP_005021	Q92844	B2R7S3|Q6NW12	NP_004171|NP_001186064|NP_597841	-	-	-	-	-	-	Homo sapiens	Homo sapiens
513659	10010	5347	115328	111362	-	-	TANK	PLK1	I-TRAF|ITRAF|TRAF2	PLK|STPK13	Affinity Capture-Western	physical	Zhang W (2010)	PUBMED:20484576	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92844	B2R7S3|Q6NW12	NP_004171|NP_001186064|NP_597841	P53350	-	NP_005021	-	-	-	-	-	-	Homo sapiens	Homo sapiens
513661	10010	8517	115328	114089	-	-	TANK	IKBKG	I-TRAF|ITRAF|TRAF2	AMCBX1|FIP-3|FIP3|Fip3p|IKK-gamma|IMD33|IP|IP1|IP2|IPD2|NEMO|ZC2HC9	Affinity Capture-Western	physical	Zhang W (2010)	PUBMED:20484576	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92844	B2R7S3|Q6NW12	NP_004171|NP_001186064|NP_597841	Q9Y6K9	A0A087X1B1	NP_003630|NP_001138727|NP_001364244|NP_001364243|NP_001364242|NP_001364241|NP_001308326|NP_001308325|NP_001093327|NP_001093326	-	-	-	-	-	-	Homo sapiens	Homo sapiens
513662	8517	10010	114089	115328	-	-	IKBKG	TANK	AMCBX1|FIP-3|FIP3|Fip3p|IKK-gamma|IMD33|IP|IP1|IP2|IPD2|NEMO|ZC2HC9	I-TRAF|ITRAF|TRAF2	Affinity Capture-Western	physical	Zhang W (2010)	PUBMED:20484576	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y6K9	A0A087X1B1	NP_003630|NP_001138727|NP_001364244|NP_001364243|NP_001364242|NP_001364241|NP_001308326|NP_001308325|NP_001093327|NP_001093326	Q92844	B2R7S3|Q6NW12	NP_004171|NP_001186064|NP_597841	-	-	-	-	-	-	Homo sapiens	Homo sapiens
557508	10010	54708	115328	120105	-	RP11-543N17.3	TANK	05-Mar	I-TRAF|ITRAF|TRAF2	MARCH-V|MITOL|RNF153	Affinity Capture-Western	physical	Shi HX (2011)	PUBMED:21625535	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92844	B2R7S3|Q6NW12	NP_004171|NP_001186064|NP_597841	Q9NX47	-	NP_060294	-	-	-	-	-	-	Homo sapiens	Homo sapiens
557510	54708	10010	120105	115328	RP11-543N17.3	-	05-Mar	TANK	MARCH-V|MITOL|RNF153	I-TRAF|ITRAF|TRAF2	Affinity Capture-Western	physical	Shi HX (2011)	PUBMED:21625535	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9NX47	-	NP_060294	Q92844	B2R7S3|Q6NW12	NP_004171|NP_001186064|NP_597841	-	-	-	-	-	-	Homo sapiens	Homo sapiens
