#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
715791	22858	57521	116527	121582	-	-	ICK	RPTOR	ECO|LCK2|MRK	KOG1|Mip1	Biochemical Activity	physical	Wu D (2012)	PUBMED:22356909	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	Q9UPZ9	B3KQG4|A0A024RD59	NP_055735|NP_057597	Q8N122	Q6DKI0	NP_065812|NP_001156506	-	-	-	-	-	-	Homo sapiens	Homo sapiens
715792	22858	57521	116527	121582	-	-	ICK	RPTOR	ECO|LCK2|MRK	KOG1|Mip1	Co-fractionation	physical	Wu D (2012)	PUBMED:22356909	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9UPZ9	B3KQG4|A0A024RD59	NP_055735|NP_057597	Q8N122	Q6DKI0	NP_065812|NP_001156506	-	-	-	-	-	-	Homo sapiens	Homo sapiens
717931	22858	5594	116527	111580	-	-	ICK	MAPK1	ECO|LCK2|MRK	ERK|ERK-2|ERK2|ERT1|MAPK2|P42MAPK|PRKM1|PRKM2|p38|p40|p41|p41mapk|p42-MAPK	Affinity Capture-Western	physical	Fu Z (2006)	PUBMED:16954377	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9UPZ9	B3KQG4|A0A024RD59	NP_055735|NP_057597	P28482	Q1HBJ4|Q499G7	NP_002736|NP_620407	-	-	-	-	-	-	Homo sapiens	Homo sapiens
717932	22858	8317	116527	113914	-	-	ICK	CDC7	ECO|LCK2|MRK	CDC7L1|HsCDC7|Hsk1|huCDC7	Affinity Capture-Western	physical	Fu Z (2006)	PUBMED:16954377	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9UPZ9	B3KQG4|A0A024RD59	NP_055735|NP_057597	O00311	B2R6V2	NP_003494|NP_001127891|NP_001127892	-	-	-	-	-	-	Homo sapiens	Homo sapiens
717933	22858	4331	116527	110474	-	-	ICK	MNAT1	ECO|LCK2|MRK	CAP35|MAT1|RNF66|TFB3	Affinity Capture-Western	physical	Fu Z (2006)	PUBMED:16954377	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9UPZ9	B3KQG4|A0A024RD59	NP_055735|NP_057597	P51948	A0A024R669|A0A024R688	NP_001171434|NP_002422	-	-	-	-	-	-	Homo sapiens	Homo sapiens
717934	23552	22858	117096	116527	RP11-350E12.2	-	CDK20	ICK	CCRK|CDCH|P42|PNQALRE	ECO|LCK2|MRK	Affinity Capture-Western	physical	Fu Z (2006)	PUBMED:16954377	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q8IZL9	-	NP_001034892|NP_036251|NP_848519|NP_001164111|NP_001164110	Q9UPZ9	B3KQG4|A0A024RD59	NP_055735|NP_057597	-	-	-	-	-	-	Homo sapiens	Homo sapiens
717935	23552	22858	117096	116527	RP11-350E12.2	-	CDK20	ICK	CCRK|CDCH|P42|PNQALRE	ECO|LCK2|MRK	Biochemical Activity	physical	Fu Z (2006)	PUBMED:16954377	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	Q8IZL9	-	NP_001034892|NP_036251|NP_848519|NP_001164111|NP_001164110	Q9UPZ9	B3KQG4|A0A024RD59	NP_055735|NP_057597	-	-	-	-	-	-	Homo sapiens	Homo sapiens
717937	22858	7917	116527	113647	-	DADB-70P7.10-021	ICK	BAG6	ECO|LCK2|MRK	BAG-6|BAT3|D6S52E|G3	Reconstituted Complex	physical	Fu Z (2006)	PUBMED:16954377	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9UPZ9	B3KQG4|A0A024RD59	NP_055735|NP_057597	P46379	-	NP_001092004|NP_004630|NP_542434|NP_001186627|NP_001186626|NP_542433	-	-	-	-	-	-	Homo sapiens	Homo sapiens
717938	22858	7917	116527	113647	-	DADB-70P7.10-021	ICK	BAG6	ECO|LCK2|MRK	BAG-6|BAT3|D6S52E|G3	Biochemical Activity	physical	Fu Z (2006)	PUBMED:16954377	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	Q9UPZ9	B3KQG4|A0A024RD59	NP_055735|NP_057597	P46379	-	NP_001092004|NP_004630|NP_542434|NP_001186627|NP_001186626|NP_542433	-	-	-	-	-	-	Homo sapiens	Homo sapiens
738374	22858	351	116527	106848	-	-	ICK	APP	ECO|LCK2|MRK	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Reconstituted Complex	physical	Olah J (2011)	PUBMED:21832049	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q9UPZ9	B3KQG4|A0A024RD59	NP_055735|NP_057597	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
