#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
244292	843	8795	107293	114323	-	UNQ160/PRO186	CASP10	TNFRSF10B	ALPS2|FLICE2|MCH4	CD262|DR5|KILLER|KILLER/DR5|TRAIL-R2|TRAILR2|TRICK2|TRICK2A|TRICK2B|TRICKB|ZTNFR9	Co-purification	physical	Gajate C (2005)	PUBMED:15659383	9606	9606	Low Throughput	-	-	"Fas, tumor necrosis factor-receptor 1, and tumor necrosis factor-related apoptosis-inducing ligand receptor 2/death receptor 5 were clustered into lipid rafts in leukemic Jurkat cells following Aplidin treatment;Fas ligand (FasL) as well as downstream sig"	-	BIOGRID	Q92851	-	NP_116756|NP_001221|NP_116758|NP_116759|NP_001193453|NP_001193471	O14763	Q7Z2I8	NP_671716|NP_003833	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244308	843	8772	107293	114302	-	GIG3	CASP10	FADD	ALPS2|FLICE2|MCH4	MORT1	Co-purification	physical	Gajate C (2005)	PUBMED:15659383	9606	9606	Low Throughput	-	-	"Fas, tumor necrosis factor-receptor 1, and tumor necrosis factor-related apoptosis-inducing ligand receptor 2/death receptor 5 were clustered into lipid rafts in leukemic Jurkat cells following Aplidin treatment;Fas ligand (FasL) as well as downstream sig"	-	BIOGRID	Q92851	-	NP_116756|NP_001221|NP_116758|NP_116759|NP_001193453|NP_001193471	Q13158	-	NP_003815	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244316	843	356	107293	106852	-	-	CASP10	FASLG	ALPS2|FLICE2|MCH4	ALPS1B|APT1LG1|APTL|CD178|CD95-L|CD95L|FASL|TNFSF6	Co-purification	physical	Gajate C (2005)	PUBMED:15659383	9606	9606	Low Throughput	-	-	"Fas, tumor necrosis factor-receptor 1, and tumor necrosis factor-related apoptosis-inducing ligand receptor 2/death receptor 5 were clustered into lipid rafts in leukemic Jurkat cells following Aplidin treatment;Fas ligand (FasL) as well as downstream sig"	-	BIOGRID	Q92851	-	NP_116756|NP_001221|NP_116758|NP_116759|NP_001193453|NP_001193471	P48023	Q53ZZ1	NP_000630|NP_001289675	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244329	637	843	107106	107293	-	-	BID	CASP10	FP497	ALPS2|FLICE2|MCH4	Co-purification	physical	Gajate C (2005)	PUBMED:15659383	9606	9606	Low Throughput	-	-	"Fas, tumor necrosis factor-receptor 1, and tumor necrosis factor-related apoptosis-inducing ligand receptor 2/death receptor 5 were clustered into lipid rafts in leukemic Jurkat cells following Aplidin treatment;Fas ligand (FasL) as well as downstream sig"	-	BIOGRID	P55957	B2ZP79|A8ASI8|B3KT21	NP_001231499|NP_001231498|NP_001231496|NP_001231501|NP_001187|NP_932071|NP_932070	Q92851	-	NP_116756|NP_001221|NP_116758|NP_116759|NP_001193453|NP_001193471	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244330	7430	843	113271	107293	-	-	EZR	CASP10	CVIL|CVL|HEL-S-105|VIL2	ALPS2|FLICE2|MCH4	Co-purification	physical	Gajate C (2005)	PUBMED:15659383	9606	9606	Low Throughput	-	-	"Fas, tumor necrosis factor-receptor 1, and tumor necrosis factor-related apoptosis-inducing ligand receptor 2/death receptor 5 were clustered into lipid rafts in leukemic Jurkat cells following Aplidin treatment;Fas ligand (FasL) as well as downstream sig"	-	BIOGRID	P15311	-	NP_003370|NP_001104547	Q92851	-	NP_116756|NP_001221|NP_116758|NP_116759|NP_001193453|NP_001193471	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244331	355	843	106851	107293	RP11-399O19.7	-	FAS	CASP10	ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6	ALPS2|FLICE2|MCH4	Co-purification	physical	Gajate C (2005)	PUBMED:15659383	9606	9606	Low Throughput	-	-	"Fas, tumor necrosis factor-receptor 1, and tumor necrosis factor-related apoptosis-inducing ligand receptor 2/death receptor 5 were clustered into lipid rafts in leukemic Jurkat cells following Aplidin treatment;Fas ligand (FasL) as well as downstream sig"	-	BIOGRID	P25445	Q59FU8	NP_690610|NP_690611|NP_000034	Q92851	-	NP_116756|NP_001221|NP_116758|NP_116759|NP_001193453|NP_001193471	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244332	5599	843	111585	107293	-	-	MAPK8	CASP10	JNK|JNK-46|JNK1|JNK1A2|JNK21B1/2|PRKM8|SAPK1|SAPK1c	ALPS2|FLICE2|MCH4	Co-purification	physical	Gajate C (2005)	PUBMED:15659383	9606	9606	Low Throughput	-	-	"Fas, tumor necrosis factor-receptor 1, and tumor necrosis factor-related apoptosis-inducing ligand receptor 2/death receptor 5 were clustered into lipid rafts in leukemic Jurkat cells following Aplidin treatment;Fas ligand (FasL) as well as downstream sig"	-	BIOGRID	P45983	A1L4K2	NP_001310257|NP_001310256|NP_001310255|NP_001310254|NP_001310253|NP_001310252|NP_001310251|NP_001310250|NP_001265476|NP_001265477|NP_001310249|NP_001310259|NP_001310258|NP_620637|NP_620634|NP_001310260|NP_001310231|NP_002741	Q92851	-	NP_116756|NP_001221|NP_116758|NP_116759|NP_001193453|NP_001193471	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244333	4478	843	110584	107293	-	-	MSN	CASP10	HEL70	ALPS2|FLICE2|MCH4	Co-purification	physical	Gajate C (2005)	PUBMED:15659383	9606	9606	Low Throughput	-	-	"Fas, tumor necrosis factor-receptor 1, and tumor necrosis factor-related apoptosis-inducing ligand receptor 2/death receptor 5 were clustered into lipid rafts in leukemic Jurkat cells following Aplidin treatment;Fas ligand (FasL) as well as downstream sig"	-	BIOGRID	P26038	V9HWC0	NP_002435	Q92851	-	NP_116756|NP_001221|NP_116758|NP_116759|NP_001193453|NP_001193471	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244334	387	843	106880	107293	-	-	RHOA	CASP10	ARH12|ARHA|RHO12|RHOH12	ALPS2|FLICE2|MCH4	Co-purification	physical	Gajate C (2005)	PUBMED:15659383	9606	9606	Low Throughput	-	-	"Fas, tumor necrosis factor-receptor 1, and tumor necrosis factor-related apoptosis-inducing ligand receptor 2/death receptor 5 were clustered into lipid rafts in leukemic Jurkat cells following Aplidin treatment;Fas ligand (FasL) as well as downstream sig"	-	BIOGRID	P61586	Q9BVT0|A0A024R324	NP_001300872|NP_001300873|NP_001300870|NP_001655|NP_001300876|NP_001300874|NP_001300875	Q92851	-	NP_116756|NP_001221|NP_116758|NP_116759|NP_001193453|NP_001193471	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244335	396	843	106889	107293	-	-	ARHGDIA	CASP10	GDIA1|HEL-S-47e|NPHS8|RHOGDI|RHOGDI-1	ALPS2|FLICE2|MCH4	Co-purification	physical	Gajate C (2005)	PUBMED:15659383	9606	9606	Low Throughput	-	-	"Fas, tumor necrosis factor-receptor 1, and tumor necrosis factor-related apoptosis-inducing ligand receptor 2/death receptor 5 were clustered into lipid rafts in leukemic Jurkat cells following Aplidin treatment;Fas ligand (FasL) as well as downstream sig"	-	BIOGRID	P52565	J3QQX2|V9HWE8	NP_001288170|NP_001288171|NP_001288172|NP_004300|NP_001288169|NP_001172006|NP_001172007	Q92851	-	NP_116756|NP_001221|NP_116758|NP_116759|NP_001193453|NP_001193471	-	-	-	-	-	-	Homo sapiens	Homo sapiens
